"Column0","Column1","Column2","Column3","Column4"
"loss:0,358","grad_norm:3,943938732147217","learning_rate:1,8285714285714284e-06","epoch:21,6",
"loss:0,0021","grad_norm:0,06881643831729889","learning_rate:1,7714285714285712e-06","epoch:21,8",
"loss:0,3786","grad_norm:4,289527416229248","learning_rate:1,714285714285714e-06","epoch:22,0",
"eval_loss:1,1406480073928833","eval_runtime:13,0532","eval_samples_per_second:0,306","eval_steps_per_second:0,077","epoch:22,0"
"loss:0,3677","grad_norm:4,0069804191589355","learning_rate:1,657142857142857e-06","epoch:22,2",
"loss:0,3434","grad_norm:4,26701021194458","learning_rate:1,6e-06","epoch:22,4",
"loss:0,3533","grad_norm:4,085790157318115","learning_rate:1,5428571428571428e-06","epoch:22,6",
"loss:0,3672","grad_norm:4,265190124511719","learning_rate:1,4857142857142858e-06","epoch:22,8",
"loss:0,0022","grad_norm:0,07437751442193985","learning_rate:1,4285714285714286e-06","epoch:23,0",
"eval_loss:1,1730399131774902","eval_runtime:12,9258","eval_samples_per_second:0,309","eval_steps_per_second:0,077","epoch:23,0"
"loss:0,3644","grad_norm:5,227725505828857","learning_rate:1,3714285714285715e-06","epoch:23,2",
"loss:0,3645","grad_norm:4,452077865600586","learning_rate:1,3142857142857143e-06","epoch:23,4",
"loss:0,0024","grad_norm:0,07608328759670258","learning_rate:1,2571428571428571e-06","epoch:23,6",
"loss:0,346","grad_norm:4,126856803894043","learning_rate:1,2e-06","epoch:23,8",
"loss:0,3392","grad_norm:5,495367527008057","learning_rate:1,1428571428571428e-06","epoch:24,0",
"eval_loss:1,165163278579712","eval_runtime:13,0522","eval_samples_per_second:0,306","eval_steps_per_second:0,077","epoch:24,0"
"loss:0,3486","grad_norm:3,9435391426086426","learning_rate:1,0857142857142856e-06","epoch:24,2",
"loss:0,3127","grad_norm:3,7470247745513916","learning_rate:1,0285714285714284e-06","epoch:24,4",
"loss:0,002","grad_norm:0,0885835811495781","learning_rate:9,714285714285715e-07","epoch:24,6",
"loss:0,3538","grad_norm:4,863283634185791","learning_rate:9,142857142857142e-07","epoch:24,8",
"loss:0,3205","grad_norm:3,5290579795837402","learning_rate:8,57142857142857e-07","epoch:25,0",
"eval_loss:1,1647733449935913","eval_runtime:12,9071","eval_samples_per_second:0,31","eval_steps_per_second:0,077","epoch:25,0"
"loss:0,002","grad_norm:0,0814955085515976","learning_rate:8e-07","epoch:25,2",
"loss:0,3412","grad_norm:5,052614688873291","learning_rate:7,428571428571429e-07","epoch:25,4",
"loss:0,3195","grad_norm:3,3474018573760986","learning_rate:6,857142857142857e-07","epoch:25,6",
"loss:0,3314","grad_norm:4,077401638031006","learning_rate:6,285714285714286e-07","epoch:25,8",
"loss:0,3359","grad_norm:4,504553318023682","learning_rate:5,714285714285714e-07","epoch:26,0",
"eval_loss:1,1691029071807861","eval_runtime:13,0018","eval_samples_per_second:0,308","eval_steps_per_second:0,077","epoch:26,0"
"loss:0,002","grad_norm:0,06450489163398743","learning_rate:5,142857142857142e-07","epoch:26,2",
"loss:0,3217","grad_norm:4,16682767868042","learning_rate:4,571428571428571e-07","epoch:26,4",
"loss:0,3456","grad_norm:4,326515197753906","learning_rate:4e-07","epoch:26,6",
"loss:0,3179","grad_norm:4,755459785461426","learning_rate:3,4285714285714286e-07","epoch:26,8",
"loss:0,3073","grad_norm:3,68496036529541","learning_rate:2,857142857142857e-07","epoch:27,0",
"eval_loss:1,1749106645584106","eval_runtime:12,957","eval_samples_per_second:0,309","eval_steps_per_second:0,077","epoch:27,0"
"loss:0,304","grad_norm:3,3397786617279053","learning_rate:2,2857142857142855e-07","epoch:27,2",
"loss:0,0021","grad_norm:0,06833937764167786","learning_rate:1,7142857142857143e-07","epoch:27,4",
"loss:0,3209","grad_norm:4,218254566192627","learning_rate:1,1428571428571427e-07","epoch:27,6",
"loss:0,3229","grad_norm:3,742765426635742","learning_rate:5,714285714285714e-08","epoch:27,8",
"loss:0,3378","grad_norm:3,9250569343566895","learning_rate:0,0","epoch:28,0",
"eval_loss:1,1786667108535767","eval_runtime:12,9498","eval_samples_per_second:0,309","eval_steps_per_second:0,077","epoch:28,0"
"train_runtime:2814,1279","train_samples_per_second:0,05","train_steps_per_second:0,05","train_loss:0,9443549510474051","epoch:28,0"
